Year,COMMENT_OBS,SERIES,UNIT_MEASURE,BASE_PER,Value
2014,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.7007
2015,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.70476
2016,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.70011
2017,"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",DC_ODA_TOTG,PT,,0.69888
2018,"Based on OECD, DAC database, 2021; Provisional; Grant equivalent",DC_ODA_TOTGGE,PT,,0.7
2019,"Based on OECD, DAC database, 2021; Provisional; Grant equivalent",DC_ODA_TOTGGE,PT,,0.7
2020,"Based on OECD, DAC database, 2021; Provisional; Grant equivalent",DC_ODA_TOTGGE,PT,,0.7
2000,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,5579.3
2001,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,5882.9
2002,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,5970.4
2003,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,6807.7
2004,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,7468.7
2005,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,9989.8
2006,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,11102.3
2007,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,7858.1
2008,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,9845.7
2009,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,11011.0
2010,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,12680.2
2011,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,12683.3
2012,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,12676.6
2013,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,16239.0
2014,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,16339.6
2015,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,16846.0
2016,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,18167.5
2017,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,18730.7
2018,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,19011.4
2019,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,19354.2
2020,"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",DC_ODA_TOTL,CON_USD,2019,18078.10094
2018,"Based on OECD, DAC database, 2021; Constant 2019 USD million; Grant equivalent",DC_ODA_TOTLGE,CON_USD,2019,18961.0
2019,"Based on OECD, DAC database, 2021; Constant 2019 USD million; Grant equivalent",DC_ODA_TOTLGE,CON_USD,2019,19377.0
2020,"Based on OECD, DAC database, 2021; Constant 2019 USD million; Grant equivalent",DC_ODA_TOTLGE,CON_USD,2019,17434.0
